study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,T.started,text_2.started,textbox.started,text_3.started,mouse.started,T.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
police,10,10,0,1,0.6235432,,,,,,,,,,,,0,10,10,12,,,,,9.2991747,,9.2840339,9.2991747,9.2991747,9.9240303,1,0.6235432,,,,,,,,,,,,,,,400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
cruise,11,11,0,1.609375,0.6456041,,,,,,,,,,,,0,11,11,11,,,,,9.9445141,,9.928628,9.9445141,9.9445141,10.5909704,1.609375,0.6456041,,,,,,,,,,,,,,,400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
phone,12,12,0,1,0.5837032,,,,,,,,,,,,0,12,12,2,,,,,10.611849,,10.595854,10.611849,10.611849,11.1970935,1,0.5837032,,,,,,,,,,,,,,,400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
poster,13,13,0,4.947916667,1.8553058,,,,,,,,,,,,0,13,13,14,,,,,11.2177401,,11.2025625,11.2177401,11.2177401,13.0748879,4.947916667,1.8553058,,,,,,,,,,,,,,,400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
T-shirt,14,14,0,1.494791667,1.1184884,,,,,,,,,,,,0,14,14,7,,,,,13.0997362,,13.0847237,13.0997362,13.0997362,14.2185602,1.494791667,1.1184884,,,,,,,,,,,,,,,400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,0,0,0,,,_o_ic_,police,old,police,[-0.041666666666666664],[-0.2994791666666667],[1],[0],[0],[5.576049200026318],['text_3'],,,,,0,0,0,12,14.2681395,,,,,,,,14.2411162,14.2681395,14.2681395,14.2681395,0.0225873,19.8182066,police,[-0.041666666666666664],[-0.2994791666666667],[1],[0],[0],[5.576049200026318],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,1,1,0,,,m_u_e,mouse,old,mouse,[-0.040364583333333336],[-0.2838541666666667],[1],[0],[0],[3.5933203999884427],['text_3'],,,,,0,1,1,8,19.8392497,,,,,,,,19.8232009,19.8392497,19.8392497,19.8392497,0.0048177,23.4175641,mouse,[-0.040364583333333336],[-0.2838541666666667],[1],[0],[0],[3.5933203999884427],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,2,2,0,,,_a_t_p,laptop,old,laptop,[-0.040364583333333336],[-0.2838541666666667],[1],[0],[0],[2.328839600086212],['text_3'],,,,,0,2,2,5,23.4392345,,,,,,,,23.4221374,23.4392345,23.4392345,23.4392345,0.0044481,25.7521271,laptop,[-0.040364583333333336],[-0.2838541666666667],[1],[0],[0],[2.328839600086212],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,3,3,0,,,po_s_r,poster,old,poster,[-0.040364583333333336],[-0.2838541666666667],[1],[0],[0],[2.176640400197357],['text_3'],,,,,0,3,3,14,25.7726941,,,,,,,,25.7566434,25.7726941,25.7726941,25.7726941,0.0043676,27.9344565,poster,[-0.040364583333333336],[-0.2838541666666667],[1],[0],[0],[2.176640400197357],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,4,4,0,,,p_on_,phone,old,poonm,[-0.040364583333333336],[-0.2838541666666667],[1],[0],[0],[5.961003199918196],['text_3'],,,,,0,4,4,2,27.9549312,,,,,,,,27.9389669,27.9549312,27.9549312,27.9549312,0.0043389,33.9010071,poonm,[-0.040364583333333336],[-0.2838541666666667],[1],[0],[0],[5.961003199918196],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,5,5,0,,,_as_r_,pastry,old,pastry,[-0.040364583333333336],[-0.2838541666666667],[1],[0],[0],[2.5104734001215547],['text_3'],,,,,0,5,5,9,33.9209203,,,,,,,,33.9055349,33.9209203,33.9209203,33.9209203,0.0043812,36.4170457,pastry,[-0.040364583333333336],[-0.2838541666666667],[1],[0],[0],[2.5104734001215547],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,6,6,0,,,_oo_,book,old,book,[-0.05078125],[-0.28125],[1],[0],[0],[2.2952785999514163],['text_3'],,,,,0,6,6,0,36.4380771,,,,,,,,36.4212627,36.4380771,36.4380771,36.4380771,0.0039509,38.7175913,book,[-0.05078125],[-0.28125],[1],[0],[0],[2.2952785999514163],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,7,7,0,,,b_ar_,board,old,board,[-0.029947916666666668],[-0.296875],[1],[0],[0],[4.293382100062445],['text_3'],,,,,0,7,7,4,38.7388214,,,,,,,,38.7229263,38.7388214,38.7388214,38.7388214,0.0051777,43.0174435,board,[-0.029947916666666668],[-0.296875],[1],[0],[0],[4.293382100062445],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,8,8,0,,,c_m_ra,camera,new,camera,[-0.029947916666666668],[-0.296875],[1],[0],[0],[2.507009700173512],['text_3'],,,,,0,8,8,19,43.042634,,,,,,,,43.0259694,43.042634,43.042634,43.042634,0.0083723,45.534053,camera,[-0.029947916666666668],[-0.296875],[1],[0],[0],[2.507009700173512],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,9,9,0,,,cr_i_e,cruise,old,coook,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[4.561203800141811],['text_3'],,,,,0,9,9,11,45.5555635,,,,,,,,45.538728,45.5555635,45.5555635,45.5555635,0.0045027,50.1009906,coook,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[4.561203800141811],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,10,10,0,,,k_ys,keys,old,keys,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[1.9599547998514026],['text_3'],,,,,0,10,10,13,50.1225403,,,,,,,,50.1056719,50.1225403,50.1225403,50.1225403,0.0045214,52.0668601,keys,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[1.9599547998514026],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,11,11,0,,,t-_hir_,t-shirt,old,t-shirt,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[2.92745289998129],['text_3'],,,,,0,11,11,7,52.0884529,,,,,,,,52.0717221,52.0884529,52.0884529,52.0884529,0.0047152,55.0003158,t-shirt,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[2.92745289998129],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,12,12,0,,,v_s_,vase,new,vask,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[6.241210100008175],['text_3'],,,,,0,12,12,17,55.0241881,,,,,,,,55.0078541,55.0241881,55.0241881,55.0241881,0.0073937,61.2501853,vask,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[6.241210100008175],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,13,13,0,,,p_nc_l,pencil,new,pencil,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[2.859908699989319],['text_3'],,,,,0,13,13,16,61.2716758,,,,,,,,61.2549226,61.2716758,61.2716758,61.2716758,0.0044922,64.1158328,pencil,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[2.859908699989319],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,14,14,0,,,c_s_,case,old,case,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[2.4446729000192136],['text_3'],,,,,0,14,14,10,64.1366492,,,,,,,,64.1198665,64.1366492,64.1366492,64.1366492,0.003845,66.5656751,case,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[2.4446729000192136],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,15,15,0,,,c_a_t,chart,old,chart,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[2.4604495000094175],['text_3'],,,,,0,15,15,6,66.5874679,,,,,,,,66.5704777,66.5874679,66.5874679,66.5874679,0.0046748,69.0321495,chart,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[2.4604495000094175],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,16,16,0,,,bo_t_e,bottle,new,bottle,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[2.0780553999356925],['text_3'],,,,,0,16,16,18,69.0538464,,,,,,,,69.0369348,69.0538464,69.0538464,69.0538464,0.0044405,71.1161083,bottle,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[2.0780553999356925],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,17,17,0,,,c_sh_o_,cushion,old,cushion,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[2.8107413998804986],['text_3'],,,,,0,17,17,1,71.1376101,,,,,,,,71.1207119,71.1376101,71.1376101,71.1376101,0.0044445,73.9326052,cushion,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[2.8107413998804986],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,18,18,0,,,ta_l_,table,new,tabla,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[4.326597500126809],['text_3'],,,,,0,18,18,15,73.9533292,,,,,,,,73.9375946,73.9533292,73.9533292,73.9533292,0.0048371,78.2653897,tabla,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[4.326597500126809],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,19,19,0,,,_ar__e,marble,old,makrns,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[4.578078600112349],['text_3'],,,,,0,19,19,3,78.2869928,,,,,,,,78.2697994,78.2869928,78.2869928,78.2869928,0.0042169,82.8492383,makrns,[-0.0234375],[-0.3059895833333333],[1],[0],[0],[4.578078600112349],['text_3'],400854,1,2024-10-27_19h43.24.845,word priming,2024.2.1post4,59.83180084,2024-10-27 19h43.40.200426 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,no of hits old words,,12,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,no of hits new words,,3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,priming ,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
