study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,text.stopped,trial.stopped,trials.slider.response,trials.slider.rt,T.started,text_2.started,textbox.started,text_3.started,mouse.started,T.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
keys,0,0,0,1.015625,35.9634939,,,,,,,,,,,,0,0,0,13,,,,,0.1257484,,0.0473057,0.1257484,0.1257484,8.1391223,36.0270574,1.015625,35.9634939,,,,,,,,,,,,,,,291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
cruise,1,1,0,1.333333333,1.2783039,,,,,,,,,,,,0,1,1,11,,,,,36.0521932,,36.0363154,36.0521932,36.0521932,,37.3304591,1.333333333,1.2783039,,,,,,,,,,,,,,,291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
book,2,2,0,1.333333333,0.6629848,,,,,,,,,,,,0,2,2,0,,,,,37.3512372,,37.3356639,37.3512372,37.3512372,,38.0156302,1.333333333,0.6629848,,,,,,,,,,,,,,,291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
police,3,3,0,1.333333333,0.550255,,,,,,,,,,,,0,3,3,12,,,,,38.0391907,,38.0239227,38.0391907,38.0391907,,38.5931713,1.333333333,0.550255,,,,,,,,,,,,,,,291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
chart,4,4,0,1.166666667,0.6195026,,,,,,,,,,,,0,4,4,6,,,,,38.6218429,,38.6040683,38.6218429,38.6218429,,39.2439977,1.166666667,0.6195026,,,,,,,,,,,,,,,291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
mouse,5,5,0,1.729166667,1.1445941,,,,,,,,,,,,0,5,5,8,,,,,39.2691872,,39.2506903,39.2691872,39.2691872,,40.4111434,1.729166667,1.1445941,,,,,,,,,,,,,,,291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
marble,6,6,0,1.223958333,0.5807141,,,,,,,,,,,,0,6,6,3,,,,,40.4312179,,40.4159385,40.4312179,40.4312179,,41.0135089,1.223958333,0.5807141,,,,,,,,,,,,,,,291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
phone,7,7,0,4.479166667,1.1223008,,,,,,,,,,,,0,7,7,2,,,,,41.0371114,,41.0223928,41.0371114,41.0371114,,42.1609638,4.479166667,1.1223008,,,,,,,,,,,,,,,291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
cushion,8,8,0,1.104166667,1.0308588,,,,,,,,,,,,0,8,8,1,,,,,42.1814212,,42.1664313,42.1814212,42.1814212,,43.2134747,1.104166667,1.0308588,,,,,,,,,,,,,,,291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
case,9,9,0,1,1.480452,,,,,,,,,,,,0,9,9,10,,,,,43.2332713,,43.218265,43.2332713,43.2332713,,44.7143422,1,1.480452,,,,,,,,,,,,,,,291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
poster,10,10,0,1.348958333,1.256896,,,,,,,,,,,,0,10,10,14,,,,,44.7340691,,44.7194801,44.7340691,44.7340691,,45.9931201,1.348958333,1.256896,,,,,,,,,,,,,,,291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
pastry,11,11,0,4.911458333,1.8010289,,,,,,,,,,,,0,11,11,9,,,,,46.0144011,,45.9983753,46.0144011,46.0144011,,47.8156504,4.911458333,1.8010289,,,,,,,,,,,,,,,291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
laptop,12,12,0,1.03125,1.6583356,,,,,,,,,,,,0,12,12,5,,,,,47.8364653,,47.8212578,47.8364653,47.8364653,,49.4963244,1.03125,1.6583356,,,,,,,,,,,,,,,291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
T-shirt,13,13,0,1.03125,1.2767286,,,,,,,,,,,,0,13,13,7,,,,,49.5221629,,49.5064994,49.5221629,49.5221629,,50.7993851,1.03125,1.2767286,,,,,,,,,,,,,,,291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
board,14,14,0,1.052083333,0.6548545,,,,,,,,,,,,0,14,14,4,,,,,50.8235786,,50.8081374,50.8235786,50.8235786,,51.4789377,1.052083333,0.6548545,,,,,,,,,,,,,,,291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
,0,0,0,,,_o_ic_,police,old,police,[-0.037760416666666664],[-0.3125],[1],[0],[0],[4.758384699933231],['text_3'],,,,,0,0,0,12,51.5426639,,,,,,,,,51.5139454,51.5426639,51.5426639,51.5426639,0.0350151,56.2733366,police,[-0.037760416666666664],[-0.3125],[1],[0],[0],[4.758384699933231],['text_3'],291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
,1,1,0,,,_ar__e,marble,old,marble,[-0.037760416666666664],[-0.3125],[1],[0],[0],[3.293614699970931],['text_3'],,,,,0,1,1,3,56.2947706,,,,,,,,,56.2777883,56.2947706,56.2947706,56.2947706,0.0042781,59.5722492,marble,[-0.037760416666666664],[-0.3125],[1],[0],[0],[3.293614699970931],['text_3'],291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
,2,2,0,,,p_nc_l,pencil,new,pencil,[-0.037760416666666664],[-0.3125],[1],[0],[0],[2.4449262998532504],['text_3'],,,,,0,2,2,16,59.5937691,,,,,,,,,59.5768708,59.5937691,59.5937691,59.5937691,0.0044331,62.0229306,pencil,[-0.037760416666666664],[-0.3125],[1],[0],[0],[2.4449262998532504],['text_3'],291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
,3,3,0,,,_oo_,book,old,book,[-0.037760416666666664],[-0.3125],[1],[0],[0],[2.043959600152448],['text_3'],,,,,0,3,3,0,62.0443487,,,,,,,,,62.027422,62.0443487,62.0443487,62.0443487,0.0043461,64.0724321,book,[-0.037760416666666664],[-0.3125],[1],[0],[0],[2.043959600152448],['text_3'],291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
,4,4,0,,,c_m_ra,camera,new,camrra,[-0.037760416666666664],[-0.3125],[1],[0],[0],[8.644313599914312],['text_3'],,,,,0,4,4,19,64.0931411,,,,,,,,,64.0768076,64.0931411,64.0931411,64.0931411,0.0042097,72.7225233,camrra,[-0.037760416666666664],[-0.3125],[1],[0],[0],[8.644313599914312],['text_3'],291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
,5,5,0,,,ta_l_,table,new,talles,[-0.037760416666666664],[-0.3125],[1],[0],[0],[4.709743000101298],['text_3'],,,,,0,5,5,15,72.7436456,,,,,,,,,72.7276156,72.7436456,72.7436456,72.7436456,0.0049355,77.4384184,talles,[-0.037760416666666664],[-0.3125],[1],[0],[0],[4.709743000101298],['text_3'],291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
,6,6,0,,,m_u_e,mouse,old,mouse,[-0.037760416666666664],[-0.3125],[1],[0],[0],[1.8951002999674529],['text_3'],,,,,0,6,6,8,77.4594409,,,,,,,,,77.4428135,77.4594409,77.4594409,77.4594409,0.0042611,79.3390085,mouse,[-0.037760416666666664],[-0.3125],[1],[0],[0],[1.8951002999674529],['text_3'],291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
,7,7,0,,,po_s_r,poster,old,poster,[-0.037760416666666664],[-0.3125],[1],[0],[0],[2.027510599931702],['text_3'],,,,,0,7,7,14,79.3603897,,,,,,,,,79.3435696,79.3603897,79.3603897,79.3603897,0.0043837,81.3721077,poster,[-0.037760416666666664],[-0.3125],[1],[0],[0],[2.027510599931702],['text_3'],291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
,8,8,0,,,c_s_,case,old,case,[-0.037760416666666664],[-0.3125],[1],[0],[0],[1.5616973000578582],['text_3'],,,,,0,8,8,10,81.3926886,,,,,,,,,81.3761342,81.3926886,81.3926886,81.3926886,0.0038581,82.938955,case,[-0.037760416666666664],[-0.3125],[1],[0],[0],[1.5616973000578582],['text_3'],291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
,9,9,0,,,v_s_,vase,new,vase,[-0.037760416666666664],[-0.3125],[1],[0],[0],[1.6909282999113202],['text_3'],,,,,0,9,9,17,82.9617159,,,,,,,,,82.9462662,82.9617159,82.9617159,82.9617159,0.0071373,84.6382434,vase,[-0.037760416666666664],[-0.3125],[1],[0],[0],[1.6909282999113202],['text_3'],291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
,10,10,0,,,b_ar_,board,old,board,[-0.037760416666666664],[-0.3125],[1],[0],[0],[1.9774277999531478],['text_3'],,,,,0,10,10,4,84.6589427,,,,,,,,,84.643371,84.6589427,84.6589427,84.6589427,0.0049907,86.6220725,board,[-0.037760416666666664],[-0.3125],[1],[0],[0],[1.9774277999531478],['text_3'],291521,1,2024-10-27_20h57.34.963,word priming,2024.2.1post4,60.12650615,2024-10-27 20h57.51.022862 +0530
