10.2342 	INFO 	Loaded monitor calibration from ['2024_08_09 11:02']
12.3858 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019067804DF0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019067804E50>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000190678069E0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001906DFA4040>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.3859 	EXP 	window1: backgroundImage = ''
12.3860 	EXP 	window1: backgroundFit = 'none'
12.3861 	EXP 	window1: mouseVisible = False
17.7842 	INFO 	keyboard.Keyboard is using iohub backend.
17.7843 	INFO 	keyboard.Keyboard is using iohub backend.
17.7844 	INFO 	keyboard.Keyboard is using iohub backend.
17.7845 	INFO 	keyboard.Keyboard is using iohub backend.
17.7845 	EXP 	solo.final: status = STARTED
17.7850 	EXP 	window1: mouseVisible = False
