study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,T.started,text_2.started,textbox.started,text_3.started,mouse.started,T.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
phone,0,0,0,4.692708333,1.5618649,,,,,,,,,,,,0,0,0,2,,,,,0.0962289,,0.0290779,0.0962289,0.0962289,1.6077894,4.692708333,1.5618649,,,,,,,,,,,,,,,27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
laptop,1,1,0,1.973958333,0.6468514,,,,,,,,,,,,0,1,1,5,,,,,1.6298238,,1.6149343,1.6298238,1.6298238,2.2779636,1.973958333,0.6468514,,,,,,,,,,,,,,,27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
poster,2,2,0,1.302083333,0.5239702,,,,,,,,,,,,0,2,2,14,,,,,2.3018824,,2.2865444,2.3018824,2.3018824,2.827018,1.302083333,0.5239702,,,,,,,,,,,,,,,27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
board,3,3,0,2.692708333,0.6300194,,,,,,,,,,,,0,3,3,4,,,,,2.8483594,,2.8337382,2.8483594,2.8483594,3.480733,2.692708333,0.6300194,,,,,,,,,,,,,,,27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
chart,4,4,0,1.6875,0.485115,,,,,,,,,,,,0,4,4,6,,,,,3.5003488,,3.4858186,3.5003488,3.5003488,3.9900511,1.6875,0.485115,,,,,,,,,,,,,,,27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
pastry,5,5,0,3.057291667,0.4797644,,,,,,,,,,,,0,5,5,9,,,,,4.017609,,3.9996049,4.017609,4.017609,4.4956391,3.057291667,0.4797644,,,,,,,,,,,,,,,27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
book,6,6,0,4.364583333,0.5074289,,,,,,,,,,,,0,6,6,0,,,,,4.515968,,4.5012321,4.515968,4.515968,5.024278,4.364583333,0.5074289,,,,,,,,,,,,,,,27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
T-shirt,7,7,0,1.671875,0.4201857,,,,,,,,,,,,0,7,7,7,,,,,5.0498039,,5.033477,5.0498039,5.0498039,5.4692082,1.671875,0.4201857,,,,,,,,,,,,,,,27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
police,8,8,0,1.083333333,0.3764389,,,,,,,,,,,,0,8,8,12,,,,,5.4893526,,5.4741077,5.4893526,5.4893526,5.867306,1.083333333,0.3764389,,,,,,,,,,,,,,,27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
case,9,9,0,1,0.3936362,,,,,,,,,,,,0,9,9,10,,,,,5.8878369,,5.8718861,5.8878369,5.8878369,6.2816652,1,0.3936362,,,,,,,,,,,,,,,27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
mouse,10,10,0,1.010416667,0.5060556,,,,,,,,,,,,0,10,10,8,,,,,6.3021903,,6.2872578,6.3021903,6.3021903,6.8115739,1.010416667,0.5060556,,,,,,,,,,,,,,,27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
marble,11,11,0,1.010416667,0.6775811,,,,,,,,,,,,0,11,11,3,,,,,6.8319006,,6.8170373,6.8319006,6.8319006,7.5105627,1.010416667,0.6775811,,,,,,,,,,,,,,,27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
keys,12,12,0,1.052083333,0.8456832,,,,,,,,,,,,0,12,12,13,,,,,7.5322247,,7.5157632,7.5322247,7.5322247,8.3770266,1.052083333,0.8456832,,,,,,,,,,,,,,,27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
cushion,13,13,0,1.088541667,0.5933975,,,,,,,,,,,,0,13,13,1,,,,,8.3970077,,8.3822089,8.3970077,8.3970077,8.9923027,1.088541667,0.5933975,,,,,,,,,,,,,,,27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
cruise,14,14,0,1.088541667,0.2424676,,,,,,,,,,,,0,14,14,11,,,,,9.013105,,8.9974815,9.013105,9.013105,9.2558729,1.088541667,0.2424676,,,,,,,,,,,,,,,27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,0,0,0,,,c_sh_o_,cushion,old,cushion,"[-0.4778645833333333, -0.08854166666666667]","[-0.2838541666666667, -0.29296875]","[1, 1]","[0, 0]","[0, 0]","[0.12219369993545115, 3.525722499936819]","[None, 'text_3']",,,,,0,0,0,1,9.3074985,,,,,,,,9.277956,9.3074985,9.3074985,9.3074985,0.0221047,12.8047124,cushion,"[-0.4778645833333333, -0.08854166666666667]","[-0.2838541666666667, -0.29296875]","[1, 1]","[0, 0]","[0, 0]","[0.12219369993545115, 3.525722499936819]","[None, 'text_3']",27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,1,1,0,,,b_ar_,board,old,board,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.8936035998631269],['text_3'],,,,,0,1,1,4,12.8248776,,,,,,,,12.8091379,12.8248776,12.8248776,12.8248776,0.0041867,14.703753,board,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.8936035998631269],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,2,2,0,,,bo_t_e,bottle,new,bottle,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.977038900135085],['text_3'],,,,,0,2,2,18,14.7247202,,,,,,,,14.7091755,14.7247202,14.7247202,14.7247202,0.0052587,16.6872798,bottle,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.977038900135085],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,3,3,0,,,_as_r_,pastry,old,pastry,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[4.427616799948737],['text_3'],,,,,0,3,3,9,16.7071378,,,,,,,,16.6917196,16.7071378,16.7071378,16.7071378,0.0042903,21.1204625,pastry,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[4.427616799948737],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,4,4,0,,,k_ys,keys,old,keys,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.4768791000824422],['text_3'],,,,,0,4,4,13,21.1421805,,,,,,,,21.1252437,21.1421805,21.1421805,21.1421805,0.0046117,22.6032093,keys,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.4768791000824422],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,5,5,0,,,_a_t_p,laptop,old,laptop,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[2.4112694000359625],['text_3'],,,,,0,5,5,5,22.6234043,,,,,,,,22.6080737,22.6234043,22.6234043,22.6234043,0.0047278,25.0204349,laptop,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[2.4112694000359625],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,6,6,0,,,_oo_,book,old,,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[0.42723789997398853],['text_3'],,,,,0,6,6,0,25.0410927,,,,,,,,25.0244947,25.0410927,25.0410927,25.0410927,0.0039131,25.4527484,,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[0.42723789997398853],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,7,7,0,,,ta_l_,table,new,look,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.6946078999899328],['text_3'],,,,,0,7,7,15,25.4745325,,,,,,,,25.4579391,25.4745325,25.4745325,25.4745325,0.0050131,27.1535972,look,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.6946078999899328],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,8,8,0,,,t-_hir_,t-shirt,old,t-shirt,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[3.2102782998699695],['text_3'],,,,,0,8,8,7,27.1751997,,,,,,,,27.1584511,27.1751997,27.1751997,27.1751997,0.004712,30.3698019,t-shirt,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[3.2102782998699695],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
