study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,T.started,text_2.started,textbox.started,text_3.started,mouse.started,T.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
keys,0,0,0,1.072916667,3.5501245,,,,,,,,,,,,0,0,0,13,,,,,0.1040765,,0.0313529,0.1040765,0.1040765,3.5969855,1.072916667,3.5501245,,,,,,,,,,,,,,,88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
cushion,1,1,0,5,1.8200979,,,,,,,,,,,,0,1,1,1,,,,,3.6208507,,3.6052961,3.6208507,3.6208507,5.445054,5,1.8200979,,,,,,,,,,,,,,,88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
case,2,2,0,1.536458333,1.2014056,,,,,,,,,,,,0,2,2,10,,,,,5.4722264,,5.4540931,5.4722264,5.4722264,6.6724135,1.536458333,1.2014056,,,,,,,,,,,,,,,88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
marble,3,3,0,1,2.4457255,,,,,,,,,,,,0,3,3,3,,,,,6.6974109,,6.6814503,6.6974109,6.6974109,9.146778,1,2.4457255,,,,,,,,,,,,,,,88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
pastry,4,4,0,1,1.2172164,,,,,,,,,,,,0,4,4,9,,,,,9.1739229,,9.1557539,9.1739229,9.1739229,10.3893189,1,1.2172164,,,,,,,,,,,,,,,88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
mouse,5,5,0,4.864583333,4.1863569,,,,,,,,,,,,0,5,5,8,,,,,10.4092722,,10.3947279,10.4092722,10.4092722,14.5970433,4.864583333,4.1863569,,,,,,,,,,,,,,,88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
poster,6,6,0,4.989583333,2.2448946,,,,,,,,,,,,0,6,6,14,,,,,14.6178937,,14.6023134,14.6178937,14.6178937,16.8683879,4.989583333,2.2448946,,,,,,,,,,,,,,,88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
T-shirt,7,7,0,1,1.3377325,,,,,,,,,,,,0,7,7,7,,,,,16.9043623,,16.885976,16.9043623,16.9043623,18.2402743,1,1.3377325,,,,,,,,,,,,,,,88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
cruise,8,8,0,1,0.4616188,,,,,,,,,,,,0,8,8,11,,,,,18.2615241,,18.2458417,18.2615241,18.2615241,18.724489,1,0.4616188,,,,,,,,,,,,,,,88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
phone,9,9,0,1.817708333,0.7106319,,,,,,,,,,,,0,9,9,2,,,,,18.745835,,18.7306815,18.745835,18.745835,19.4583273,1.817708333,0.7106319,,,,,,,,,,,,,,,88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
book,10,10,0,1.328125,0.5878217,,,,,,,,,,,,0,10,10,0,,,,,19.4785154,,19.4637088,19.4785154,19.4785154,20.0682496,1.328125,0.5878217,,,,,,,,,,,,,,,88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
police,11,11,0,2.786458333,0.7639181,,,,,,,,,,,,0,11,11,12,,,,,20.0894485,,20.0732275,20.0894485,20.0894485,20.853806,2.786458333,0.7639181,,,,,,,,,,,,,,,88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
board,12,12,0,1.364583333,0.8895494,,,,,,,,,,,,0,12,12,4,,,,,20.8789028,,20.8634379,20.8789028,20.8789028,21.7694422,1.364583333,0.8895494,,,,,,,,,,,,,,,88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
chart,13,13,0,1.364583333,0.7479769,,,,,,,,,,,,0,13,13,6,,,,,21.7901159,,21.7747309,21.7901159,21.7901159,22.5387496,1.364583333,0.7479769,,,,,,,,,,,,,,,88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
laptop,14,14,0,1.114583333,0.9120813,,,,,,,,,,,,0,14,14,5,,,,,22.5600434,,22.5445119,22.5600434,22.5600434,23.4730795,1.114583333,0.9120813,,,,,,,,,,,,,,,88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
,0,0,0,,,po_s_r,poster,old,poner,[0.09375],[-0.2838541666666667],[1],[0],[0],[5.172079700045288],['text_3'],,,,,0,0,0,14,23.5377649,,,,,,,,23.5078797,23.5377649,23.5377649,23.5377649,0.034802,28.681007,poner,[0.09375],[-0.2838541666666667],[1],[0],[0],[5.172079700045288],['text_3'],88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
,1,1,0,,,cr_i_e,cruise,old,cruise,[0.09375],[-0.2838541666666667],[1],[0],[0],[2.942853600019589],['text_3'],,,,,0,1,1,11,28.7014773,,,,,,,,28.6859923,28.7014773,28.7014773,28.7014773,0.0047602,31.6299942,cruise,[0.09375],[-0.2838541666666667],[1],[0],[0],[2.942853600019589],['text_3'],88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
,2,2,0,,,c_s_,case,old, case,[0.06510416666666667],[-0.3046875],[1],[0],[0],[4.794531399849802],['text_3'],,,,,0,2,2,10,31.6507984,,,,,,,,31.6343536,31.6507984,31.6507984,31.6507984,0.0041816,36.4298716, case,[0.06510416666666667],[-0.3046875],[1],[0],[0],[4.794531399849802],['text_3'],88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
,3,3,0,,,bo_t_e,bottle,new,bottle,[0.06510416666666667],[-0.3046875],[1],[0],[0],[2.444251900073141],['text_3'],,,,,0,3,3,18,36.4517515,,,,,,,,36.4346548,36.4517515,36.4517515,36.4517515,0.0046307,38.8798874,bottle,[0.06510416666666667],[-0.3046875],[1],[0],[0],[2.444251900073141],['text_3'],88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
,4,4,0,,,_as_r_,pastry,old,kshrn,[0.06510416666666667],[-0.3046875],[1],[0],[0],[3.1758599001914263],['text_3'],,,,,0,4,4,9,38.9017066,,,,,,,,38.8859562,38.9017066,38.9017066,38.9017066,0.0058771,42.0629959,kshrn,[0.06510416666666667],[-0.3046875],[1],[0],[0],[3.1758599001914263],['text_3'],88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
,5,5,0,,,_a_t_p,laptop,old,laptop,[0.06510416666666667],[-0.3046875],[1],[0],[0],[3.2439057999290526],['text_3'],,,,,0,5,5,5,42.0849624,,,,,,,,42.0677146,42.0849624,42.0849624,42.0849624,0.0045659,45.3126461,laptop,[0.06510416666666667],[-0.3046875],[1],[0],[0],[3.2439057999290526],['text_3'],88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
,6,6,0,,,_ar__e,marble,old,marble,[0.06510416666666667],[-0.3046875],[1],[0],[0],[2.5272695999592543],['text_3'],,,,,0,6,6,3,45.3347757,,,,,,,,45.3172935,45.3347757,45.3347757,45.3347757,0.0045192,47.8457603,marble,[0.06510416666666667],[-0.3046875],[1],[0],[0],[2.5272695999592543],['text_3'],88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
,7,7,0,,,v_s_,vase,new,vase,[0.06510416666666667],[-0.3046875],[1],[0],[0],[2.0745403000619262],['text_3'],,,,,0,7,7,17,47.868504,,,,,,,,47.8531587,47.868504,47.868504,47.868504,0.0072476,49.9286703,vase,[0.06510416666666667],[-0.3046875],[1],[0],[0],[2.0745403000619262],['text_3'],88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
,8,8,0,,,b_ar_,board,old,board,[0.06510416666666667],[-0.3046875],[1],[0],[0],[3.977047799853608],['text_3'],,,,,0,8,8,4,49.9493894,,,,,,,,49.9334799,49.9493894,49.9493894,49.9493894,0.004645,53.911666,board,[0.06510416666666667],[-0.3046875],[1],[0],[0],[3.977047799853608],['text_3'],88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
,9,9,0,,,c_a_t,chart,old,chart,[0.06510416666666667],[-0.3046875],[1],[0],[0],[2.1779996999539435],['text_3'],,,,,0,9,9,6,53.9322712,,,,,,,,53.9161684,53.9322712,53.9322712,53.9322712,0.0043441,56.0953038,chart,[0.06510416666666667],[-0.3046875],[1],[0],[0],[2.1779996999539435],['text_3'],88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
,10,10,0,,,_oo_,book,old,book,[0.06510416666666667],[-0.3046875],[1],[0],[0],[1.9282382000237703],['text_3'],,,,,0,10,10,0,56.1165446,,,,,,,,56.0993572,56.1165446,56.1165446,56.1165446,0.0038698,58.0287914,book,[0.06510416666666667],[-0.3046875],[1],[0],[0],[1.9282382000237703],['text_3'],88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
,11,11,0,,,_o_ic_,police,old,police,[0.06510416666666667],[-0.3046875],[1],[0],[0],[5.394028600072488],['text_3'],,,,,0,11,11,12,58.0510711,,,,,,,,58.0330897,58.0510711,58.0510711,58.0510711,0.004145,63.4284169,police,[0.06510416666666667],[-0.3046875],[1],[0],[0],[5.394028600072488],['text_3'],88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
,12,12,0,,,t-_hir_,t-shirt,old,t-shirt,[0.06510416666666667],[-0.3046875],[1],[0],[0],[2.8936982001177967],['text_3'],,,,,0,12,12,7,63.4501525,,,,,,,,63.4332417,63.4501525,63.4501525,63.4501525,0.0046969,66.3282132,t-shirt,[0.06510416666666667],[-0.3046875],[1],[0],[0],[2.8936982001177967],['text_3'],88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
,13,13,0,,,c_sh_o_,cushion,old,cushion,[0.06510416666666667],[-0.3046875],[1],[0],[0],[6.227048399858177],['text_3'],,,,,0,13,13,1,66.3506534,,,,,,,,66.3331597,66.3506534,66.3506534,66.3506534,0.0047383,72.5613268,cushion,[0.06510416666666667],[-0.3046875],[1],[0],[0],[6.227048399858177],['text_3'],88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
,14,14,0,,,p_nc_l,pencil,new,pencil,[0.06510416666666667],[-0.3046875],[1],[0],[0],[2.5443422999233007],['text_3'],,,,,0,14,14,16,72.5827672,,,,,,,,72.5659301,72.5827672,72.5827672,72.5827672,0.0044564,75.1113738,pencil,[0.06510416666666667],[-0.3046875],[1],[0],[0],[2.5443422999233007],['text_3'],88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
,15,15,0,,,k_ys,keys,old,keys,[0.06510416666666667],[-0.3046875],[1],[0],[0],[1.6607213001698256],['text_3'],,,,,0,15,15,13,75.1333834,,,,,,,,75.1160283,75.1333834,75.1333834,75.1333834,0.0045213,76.7779034,keys,[0.06510416666666667],[-0.3046875],[1],[0],[0],[1.6607213001698256],['text_3'],88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
,16,16,0,,,ta_l_,table,new,table,[0.06510416666666667],[-0.3046875],[1],[0],[0],[2.3438587998971343],['text_3'],,,,,0,16,16,15,76.7983764,,,,,,,,76.7827198,76.7983764,76.7983764,76.7983764,0.0046498,79.1277915,table,[0.06510416666666667],[-0.3046875],[1],[0],[0],[2.3438587998971343],['text_3'],88145,1,2024-10-27_19h27.28.213,word priming,2024.2.1post4,60.16485172,2024-10-27 19h27.42.516161 +0530
